MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
WT,0,1,1.58,5589.89,3216,9865,8831.203,1218596,1,3,2
WT,0,2,1.181,4961.908,2537,8419,5861.333,808791,1,3,2
WT,0,3,1.638,4945.819,2810,8128,8100.405,1117755,1,3,2
WT,0,4,2.609,6140.178,2791,10572,16019.301,2210464,1,3,2
WT,0,5,3.783,5992.103,2495,12605,22667.828,3127878,1,3,2
WT,0,6,1.754,6311.579,3214,12141,11069.129,1527402,1,3,2
WT,0,7,1.602,6049.24,3222,10817,9688.425,1336882,1,3,2
WT,0,8,3.826,7038.839,2562,14730,26933.641,3716507,1,3,2
WT,0,9,2.754,14582.163,3210,29855,40157.407,5541222,1,3,2
WT,0,10,6.588,5293.895,2631,9880,34873.807,4812151,1,3,2
WT,0,11,2.442,10617.84,3225,22047,25931.413,3578212,1,3,2
WT,0,12,4.392,9133.559,2685,22442,40111.859,5534937,1,3,2
WT,0,13,2.421,7829.383,2553,13660,18951.087,2615014,1,3,2
WT,0,14,1.174,5672.093,2683,11142,6659.144,918879,1,3,2
WT,0,15,1.449,5465.565,2794,9824,7921.824,1093113,1,3,2
WT,0,16,2.87,5469.351,2223,10198,15696.076,2165863,1,3,2
WT,0,17,1.341,5435.908,2513,9042,7287.926,1005643,1,3,2
WT,0,18,1.312,5481.597,2874,9544,7190.279,992169,1,3,2
WT,0,19,0.645,3983.326,2837,5791,2569.188,354516,1,3,2
WT,0,20,1.913,5102.837,2807,9036,9762.83,1347149,1,3,2
WT,0,21,1.812,6870.524,3201,12516,12447.725,1717631,1,3,2
WT,0,22,3.602,6589.306,2771,12961,23733.193,3274885,1,3,2
WT,0,23,1.493,5590.723,2738,9760,8346.326,1151689,1,3,2
WT,0,24,0.507,3878.686,2175,5717,1967.627,271508,1,3,2
WT,0,25,3.102,5214.991,2565,9729,16175.489,2232016,1,3,2
WT,0,26,1,5045.986,3216,8283,5046.441,696346,1,3,2
WT,0,27,6.29,7656.378,2175,15923,48161.854,6645736,1,3,2
WT,0,28,0.522,3923.222,2738,5587,2047.083,282472,1,3,2
WT,0,29,1.754,5222.996,3198,8813,9159.993,1263965,1,3,2
WT,0,30,1.37,6207.238,3130,12508,8501.985,1173168,1,3,2
WT,0,31,2.058,5904.18,2926,9794,12151.727,1676787,1,3,2
WT,0,32,1.594,7166.05,3220,14772,11425.169,1576531,1,3,2
WT,0,33,1.971,6435.599,3223,11229,12685.804,1750483,1,3,2
WT,0,34,1.189,5163.341,2974,8433,6136.699,846788,1,3,2
WT,0,35,1.493,5915.903,3005,10806,8831.783,1218676,1,3,2
WT,0,36,2.348,7179.448,3209,13729,16857.616,2326141,1,3,2
WT,0,37,1.297,4862.151,3088,7647,6307.272,870325,1,3,2
WT,0,38,6.646,5697.125,2214,11414,37860.402,5224264,1,3,2
WT,0,39,1.42,5086.99,2652,8386,7225.652,997050,1,3,2
WT,0,40,1.674,4792.147,2489,9813,8022.362,1106986,1,3,2
WT,0,41,1.899,6257.916,3210,10378,11882.043,1639574,1,3,2
WT,0,42,1.797,4885.5,2841,8862,8780.532,1211604,1,3,2
WT,0,43,1.565,6727.662,3022,14952,10531.204,1453175,1,3,2
WT,0,44,1.558,4611.535,2440,7470,7185.286,991480,1,3,2
WT,0,45,2.399,4785.837,2436,8105,11480.109,1584112,1,3,2
WT,0,46,1.906,5550.639,2740,10678,10579.346,1459818,1,3,2
WT,0,47,1.442,4678.322,2978,7112,6746.884,930986,1,3,2
WT,0,48,4.399,5357.555,2214,9966,23567.605,3252036,1,3,2
WT,0,49,1.232,5145.371,3218,8607,6339.072,874713,1,3,2
WT,0,50,1.551,4313.668,2621,7791,6689.915,923125,1,3,2
WT,0,51,1.044,4976.285,2830,7867,5193.114,716585,1,3,2
WT,0,52,2.196,6128.667,2788,11311,13457.635,1856986,1,3,2
WT,0,53,1.797,5355.621,3122,8891,9625.463,1328194,1,3,2
WT,0,54,4.573,6582.583,2813,13744,30101.34,4153610,1,3,2
WT,0,55,3.725,7217.321,3211,17036,26884.332,3709703,1,3,2
WT,0,56,1.848,6910.486,3210,13825,12770.529,1762174,1,3,2
WTBG,0,57,5.073,105.174,77,473,533.541,73622,1,3,2
WTBG,0,58,2.776,101.232,85,292,280.982,38772,1,3,2
WTBG,0,59,1.739,101.85,83,281,177.146,24444,1,3,2
WTBG,0,60,1.783,110.333,79,338,196.699,27142,1,3,2
WTBG,0,61,1.478,100.275,86,296,148.245,20456,1,3,2
WT,1,1,1.58,5473.083,706,12459,8646.664,1193132,1,3,2
WT,1,2,1.181,7318.791,1050,14239,8645.44,1192963,1,3,2
WT,1,3,1.638,5564.544,856,11785,9113.772,1257587,1,3,2
WT,1,4,2.609,8791.892,1848,17405,22937.44,3165081,1,3,2
WT,1,5,3.783,10494.492,2292,25135,39700.141,5478125,1,3,2
WT,1,6,1.754,6890.384,251,13016,12084.228,1667473,1,3,2
WT,1,7,1.602,5557.67,1016,13278,8901.129,1228245,1,3,2
WT,1,8,3.826,10229.449,802,25507,39142.294,5401149,1,3,2
WT,1,9,2.754,14450.287,1014,32693,39794.236,5491109,1,3,2
WT,1,10,6.588,7249.714,418,19063,47757.861,6589990,1,3,2
WT,1,11,2.442,14562.136,1383,32311,35564.369,4907440,1,3,2
WT,1,12,4.392,13606.698,1140,36961,59756.545,8245659,1,3,2
WT,1,13,2.421,12953.707,2081,27703,31354.554,4326538,1,3,2
WT,1,14,1.174,6487.599,1869,13105,7616.564,1050991,1,3,2
WT,1,15,1.449,6106.03,1696,12101,8850.118,1221206,1,3,2
WT,1,16,2.87,6465.237,858,12298,18554.095,2560234,1,3,2
WT,1,17,1.341,5012.865,651,9996,6720.751,927380,1,3,2
WT,1,18,1.312,8070.409,1483,18482,10586.057,1460744,1,3,2
WT,1,19,0.645,5519.371,2381,9470,3559.915,491224,1,3,2
WT,1,20,1.913,7531.92,1886,16914,14410.192,1988427,1,3,2
WT,1,21,1.812,9078.704,1964,16458,16448.412,2269676,1,3,2
WT,1,22,3.602,9146.648,1752,21774,32944.162,4545884,1,3,2
WT,1,23,1.493,6300.408,979,11268,9405.805,1297884,1,3,2
WT,1,24,0.507,5516.7,2073,10450,2798.579,386169,1,3,2
WT,1,25,3.102,6170.981,621,15383,19140.713,2641180,1,3,2
WT,1,26,1,6022.587,1580,12357,6023.131,831117,1,3,2
WT,1,27,6.29,9702.407,1400,24008,61032.24,8421689,1,3,2
WT,1,28,0.522,5393.861,2374,10788,2814.442,388358,1,3,2
WT,1,29,1.754,6970.103,1073,13224,12224.038,1686765,1,3,2
WT,1,30,1.37,8553.413,3018,17172,11715.514,1616595,1,3,2
WT,1,31,2.058,10592.641,3643,18929,21801.315,3008310,1,3,2
WT,1,32,1.594,11243.15,2687,22541,17925.48,2473493,1,3,2
WT,1,33,1.971,6298.676,771,14802,12415.903,1713240,1,3,2
WT,1,34,1.189,6927.25,2181,13786,8233.127,1136069,1,3,2
WT,1,35,1.493,6755.456,1954,13259,10085.142,1391624,1,3,2
WT,1,36,2.348,7409.037,1380,15592,17396.701,2400528,1,3,2
WT,1,37,1.297,6285,2131,11811,8153.018,1125015,1,3,2
WT,1,38,6.646,7711.802,1103,19452,51248.988,7071722,1,3,2
WT,1,39,1.42,4767.153,1069,10662,6771.35,934362,1,3,2
WT,1,40,1.674,5209.039,939,11417,8720.265,1203288,1,3,2
WT,1,41,1.899,8460.466,1099,18698,16064.073,2216642,1,3,2
WT,1,42,1.797,8180.927,2110,15847,14703.284,2028870,1,3,2
WT,1,43,1.565,11517.644,1765,21013,18029.243,2487811,1,3,2
WT,1,44,1.558,4744.563,1158,10926,7392.558,1020081,1,3,2
WT,1,45,2.399,5878.184,1384,11593,14100.396,1945679,1,3,2
WT,1,46,1.906,10072.749,2586,19313,19198.349,2649133,1,3,2
WT,1,47,1.442,4077.141,675,10077,5879.886,811351,1,3,2
WT,1,48,4.399,7762.153,176,16611,34145.306,4711627,1,3,2
WT,1,49,1.232,5178,2217,9205,6379.271,880260,1,3,2
WT,1,50,1.551,5581.164,1680,10477,8655.629,1194369,1,3,2
WT,1,51,1.044,6143.028,1939,12250,6410.695,884596,1,3,2
WT,1,52,2.196,5763.01,691,10896,12654.707,1746192,1,3,2
WT,1,53,1.797,6243.081,1846,14234,11220.462,1548284,1,3,2
WT,1,54,4.573,8614.439,1451,19417,39392.765,5435711,1,3,2
WT,1,55,3.725,5627.584,633,14969,20962.602,2892578,1,3,2
WT,1,56,1.848,7158.396,1611,15547,13228.665,1825391,1,3,2
WTBG,1,57,5.073,122.287,80,1320,620.353,85601,1,3,2
WTBG,1,58,2.776,115.979,82,1258,321.913,44420,1,3,2
WTBG,1,59,1.739,122.754,86,1153,213.505,29461,1,3,2
WTBG,1,60,1.783,132.939,85,1077,237,32703,1,3,2
WTBG,1,61,1.478,113.559,81,558,167.885,23166,1,3,2
WT,0,62,1.942,8055.97,3200,15056,15646.34,2159000,2,3,2
WT,0,63,1.486,5241.79,2571,8854,7787.42,1074567,2,3,2
WT,0,64,2.348,6336.207,2606,11327,14877.654,2052931,2,3,2
WT,0,65,1.645,5749.471,2690,9153,9458.317,1305130,2,3,2
WT,0,66,1.189,3848.707,1923,6597,4574.239,631188,2,3,2
WT,0,67,1.239,4499.111,2688,7757,5575.489,769348,2,3,2
WT,0,68,2.493,5388.474,2945,9559,13433.35,1853635,2,3,2
WT,0,69,1.457,6071.428,3213,10708,8843.965,1220357,2,3,2
WT,0,70,1.152,5506.132,2937,10051,6344.594,875475,2,3,2
WT,0,71,7.631,6975.579,2143,19133,53231.507,7345285,2,3,2
WT,0,72,2.392,5770.209,2549,10197,13799.572,1904169,2,3,2
WT,0,73,1.79,5325.676,2860,9274,9533.049,1315442,2,3,2
WT,0,74,1.899,5107.134,1800,8998,9697.027,1338069,2,3,2
WT,0,75,5.051,7777.809,2589,20348,39287.118,5421133,2,3,2
WT,0,76,1.399,4466.56,2771,7171,6247.274,862046,2,3,2
WT,0,77,1.645,6406.427,3089,11841,10539.06,1454259,2,3,2
WT,0,78,1.594,5514.823,2518,10023,8792.54,1213261,2,3,2
WT,0,79,2.58,5222.798,3093,10709,13474.52,1859316,2,3,2
WT,0,80,1.558,5254.823,3204,9223,8187.601,1129787,2,3,2
WT,0,81,1.833,5501.281,2513,9068,10086.591,1391824,2,3,2
WT,0,82,1.551,5363.897,2520,9895,8318.678,1147874,2,3,2
WT,0,83,3.935,6792.635,3207,12115,26729.956,3688401,2,3,2
WT,0,84,1.631,5569.924,3081,9145,9082.218,1253233,2,3,2
WT,0,85,3.602,5726.849,2366,9833,20626.818,2846244,2,3,2
WT,0,86,1.094,4678.053,3009,7598,5119.201,706386,2,3,2
WT,0,87,1.623,5818.254,3204,10004,9444.976,1303289,2,3,2
WT,0,88,4.442,6640.985,2160,13375,29502.112,4070924,2,3,2
WT,0,89,1.29,5100.944,3021,7720,6580.072,907968,2,3,2
WT,0,90,1.478,5006.167,3074,8179,7401.088,1021258,2,3,2
WT,0,91,1.486,5537.922,2980,10190,8227.366,1135274,2,3,2
WT,0,92,2.268,7304.76,3203,14544,16569.539,2286390,2,3,2
WT,0,93,0.732,4780.257,3214,7126,3498.91,482806,2,3,2
WT,0,94,3.312,5896.534,3096,11667,19528.69,2694716,2,3,2
WT,0,95,4.442,6122.408,2990,11125,27198.368,3753036,2,3,2
WT,0,96,1.131,5644.096,3207,9392,6380.858,880479,2,3,2
WT,0,97,1.942,6661.153,3214,12058,12937.32,1785189,2,3,2
WT,0,98,1.674,6630.784,2485,11965,11100.357,1531711,2,3,2
WT,0,99,2.167,7008.699,2735,14226,15186.885,2095601,2,3,2
WT,0,100,3.435,6003.635,2790,12117,20623.042,2845723,2,3,2
WT,0,101,3.319,6068.969,2416,12034,20143.76,2779588,2,3,2
WT,0,102,1.218,4780.214,2926,8213,5819.917,803076,2,3,2
