morphotype,pop,treatE,morph.simple,rep,CFUs_earlyCol,CFUs_shortPersist,CFUs_release
MT39,4,mono,smooth,2,-777.7777778,4611.111111,203.7037037
MT40,4,mono,smooth,2,66000,2380.952381,-342.8571429
MT48,4,anc,anc,2,43000,13120,2000
MT17,4,bi,wrinkly,3,1809.52381,50752.13675,51.28205128
MT19,4,bi,smooth,3,NA,216.2162162,-774.7747748
MT20,4,bi,wrinkly,3,89233.33333,54354.16667,-3812.5
MT37,4,mono,smooth,3,16303.0303,2426.666667,933.3333333
MT38,4,mono,fuzzy,3,11888.88889,8400,133.3333333
MT39,4,mono,smooth,3,-2133.333333,4818.181818,-3151.515152
MT40,4,mono,smooth,3,21600,6694.444444,444.4444444
MT48,4,anc,anc,3,17523.80952,NA,NA
MT21,5,bi,wrinkly,1,1186.666667,5546.666667,4666.666667
MT22,5,bi,wrinkly,1,2853.333333,1933.333333,-486.6666667
MT23,5,bi,smooth,1,2444.444444,2666.666667,1040
MT24,5,bi,smooth,1,10333.33333,10400,1911.111111
MT41,5,mono,smooth,1,320,990.4761905,390.4761905
MT42,5,mono,smooth,1,5033.333333,-277.7777778,547.2222222
MT43,5,mono,fuzzy,1,880.8333333,1666.666667,6083.333333
MT48,5,anc,anc,1,866.6666667,577.7777778,142.2222222
MT21,5,bi,wrinkly,2,10026.66667,3422.222222,-655.5555556
MT22,5,bi,wrinkly,2,11177.77778,23733.33333,1600
MT23,5,bi,smooth,2,19333.33333,1019.607843,-392.1568627
MT24,5,bi,smooth,2,13466.66667,303.030303,-60.60606061
MT41,5,mono,smooth,2,5580.952381,6733.333333,-500
MT42,5,mono,smooth,2,4950,-844.4444444,44.44444444
MT43,5,mono,fuzzy,2,3171.428571,4277.777778,111.1111111
MT48,5,anc,anc,2,2161.904762,3333.333333,869.5652174
MT21,5,bi,wrinkly,3,966.6666667,-2000,1666.666667
MT22,5,bi,wrinkly,3,4344.444444,100,2833.333333
MT23,5,bi,smooth,3,-7155.555556,-1522.222222,111.1111111
MT24,5,bi,smooth,3,5904.761905,1833.333333,733.3333333
MT41,5,mono,smooth,3,11866.66667,5174.603175,1238.095238
MT42,5,mono,smooth,3,740.7407407,333.3333333,-3222.222222
MT43,5,mono,fuzzy,3,66.66666667,982.4561404,35.0877193
MT48,5,anc,anc,3,866.6666667,1674.418605,-108.5271318
MT25,6,bi,wrinkly,1,NA,6637.037037,182.962963
MT26,6,bi,wrinkly,1,8133.333333,-5777.777778,5611.111111
MT27,6,bi,fuzzy,1,361333.3333,4213.333333,240
MT44,6,mono,smooth,1,74222.22222,24111.11111,5666.666667
MT45,6,mono,smooth,1,32000,3964.912281,1929.824561
MT46,6,mono,fuzzy,1,92222.22222,36250,2416.666667
MT47,6,mono,smooth,1,-16333.33333,5655.555556,133.3333333
MT48,6,anc,anc,1,77400,2208.333333,608.3333333
MT25,6,bi,wrinkly,2,NA,-3234.567901,5187.654321
MT26,6,bi,wrinkly,2,435333.3333,-38333.33333,129416.6667
MT27,6,bi,fuzzy,2,315000,6111.111111,3555.555556
MT44,6,mono,smooth,2,120666.6667,8333.333333,-183.3333333
MT45,6,mono,smooth,2,13500,2306.666667,-13.33333333
MT46,6,mono,fuzzy,2,22888.88889,3516.666667,83.33333333
MT47,6,mono,smooth,2,67333.33333,1095.652174,-252.173913
MT48,6,anc,anc,2,151333.3333,12450,-383.3333333
MT25,6,bi,wrinkly,3,NA,44722.22222,9888.888889
MT26,6,bi,wrinkly,3,NA,166857.1429,16857.14286
MT27,6,bi,fuzzy,3,81333.33333,2060.606061,181.8181818
MT44,6,mono,smooth,3,68000,666.6666667,444.4444444
MT45,6,mono,smooth,3,117000,6800,-533.3333333
MT46,6,mono,fuzzy,3,30222.22222,-13851.85185,6296.296296
MT47,6,mono,smooth,3,108000,3703.703704,-170.3703704
MT48,6,anc,anc,3,7666.666667,900,433.3333333
