MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
MT12,0,1,0.739,17114.716,13054,23308,12651.149,1745701,1,3,1
MT12,0,2,0.043,13922.833,13048,15192,605.395,83537,1,3,1
MT12,0,3,0.79,19354.028,13070,27635,15288.257,2109589,1,3,1
MT12,0,4,1.645,20053.242,12730,31777,32989.108,4552086,1,3,1
MT12,0,5,1.848,19423.451,13113,28036,35894.399,4952980,1,3,1
MT12,0,6,1.935,34717.779,13086,61725,67177.418,9269647,1,3,1
MT12,0,7,0.717,19773.02,13327,29272,14186.273,1957529,1,3,1
MT12,0,8,0.768,17942.925,13127,25933,13783.49,1901950,1,3,1
MT12,0,9,2.413,22967.006,13011,38346,55425.386,7648013,1,3,1
MT12,0,10,1.855,26973.812,13002,45048,50042.893,6905296,1,3,1
MT12,0,11,1.471,23509.739,12999,36434,34586.288,4772477,1,3,1
MT12,0,12,1.406,19170.392,13034,29057,26952.114,3719056,1,3,1
MT12,0,13,1.377,23505.816,13004,38175,32366.001,4466105,1,3,1
MT12,0,14,0.891,16934.691,13065,23873,15095.326,2082967,1,3,1
MT12,0,15,1.652,33679.776,13087,61809,55649.87,7678989,1,3,1
MT12,0,16,1.036,16134.077,11987,21914,16720.154,2307173,1,3,1
MT12,0,17,3.486,24416.78,12639,43442,85112.544,11744471,1,3,1
MT12,0,18,1.58,26015.72,13067,43135,41101.007,5671427,1,3,1
MT12,0,19,1.138,21542.013,12982,33988,24510.154,3382096,1,3,1
MT12,0,20,1.413,26717.497,13197,47067,37756.393,5209912,1,3,1
MT12,0,21,1.696,25923.444,12979,44001,43961.112,6066086,1,3,1
MT12,0,22,1.37,19669.529,12526,31277,26941.134,3717541,1,3,1
MT12,0,23,1.297,22012.408,13019,37092,28554.903,3940221,1,3,1
MT12,0,24,1.087,24236.727,12979,39465,26346.646,3635509,1,3,1
MT12,0,30,1.486,15495.307,8981,22951,23020.469,3176538,2,3,1
MT12,0,31,1.471,17432.64,8918,32211,25645.981,3538826,2,3,1
MT12,0,32,2.544,18348.023,8938,30186,46672.009,6440156,2,3,1
MT12,0,33,0.638,10324.477,7667,12962,6584.319,908554,2,3,1
MT12,0,34,2.225,18527.479,8976,29175,41220.648,5687936,2,3,1
MT12,0,35,0.739,13271.657,8253,19611,9810.371,1353709,2,3,1
MT12,0,36,5.515,18947.875,9012,35194,104497.351,14419333,2,3,1
MT12,0,37,1.848,17157.537,8911,30745,31707.007,4375172,2,3,1
MT12,0,38,1.957,21065.944,8902,36253,41219.698,5687805,2,3,1
MT12,0,39,2.848,17699.537,8978,29549,50409.752,6955918,2,3,1
MT12,0,40,1.544,15521.244,8949,24079,23958.865,3306025,2,3,1
MT12,0,41,1.645,16577.313,8913,25233,27270.939,3763050,2,3,1
MT12,0,42,1.616,22010.601,8959,39218,35571.065,4908364,2,3,1
MT12,0,43,1.623,15754.638,8942,24988,25575.055,3529039,2,3,1
MT12,0,44,1.225,14125.29,9010,20831,17299.924,2387174,2,3,1
MT12,0,45,1.536,18520.113,8989,34652,28453.756,3926264,2,3,1
MT12,0,46,1.993,22637.655,8916,35531,45115.34,6225355,2,3,1
MT12,0,47,1.341,17965.47,8963,28204,24086.319,3323612,2,3,1
MT12,0,48,2.565,16244.54,8962,32355,41674.537,5750567,2,3,1
MT12,0,49,0.63,10476.586,7201,13834,6605.4,911463,2,3,1
MT12,0,50,2.116,15930.616,8332,26608,33711.303,4651740,2,3,1
MT12,0,51,1.203,14898.831,9037,24627,17923.4,2473206,2,3,1
MT12,0,52,1.312,14430.967,9058,21458,18929.281,2612005,2,3,1
MT12,0,53,4.406,19141.951,8954,34818,84343.163,11638306,2,3,1
MT12,0,54,5.16,18532.159,7386,35077,95623.826,13194897,2,3,1
MT12,0,55,1.884,15138.785,8937,26996,28524.922,3936084,2,3,1
MT12,0,56,1.949,21794.294,8910,39333,42486.914,5862665,2,3,1
MT12,0,57,2.276,17289.538,8923,30462,39343.515,5428915,2,3,1
MT12,0,58,0.558,10368.078,6907,13537,5785.609,798342,2,3,1
MT12,0,59,1.515,16184.866,8906,26912,24514.075,3382637,2,3,1
MT12,0,65,2.457,23686.764,8983,41988,58192.303,8029813,3,3,1
MT12,0,66,2.377,24668.97,8971,40445,58638.785,8091422,3,3,1
MT12,0,67,1.428,18579.736,8958,30517,26525.64,3660208,3,3,1
MT12,0,68,1.377,18497.926,8952,31281,25470.458,3514606,3,3,1
MT12,0,69,1.225,16448.598,9096,26718,20145.391,2779813,3,3,1
MT12,0,70,1.29,13372.511,9014,19629,17250.158,2380307,3,3,1
MT12,0,71,1.761,19130.424,8952,33626,33689.222,4648693,3,3,1
MT12,0,72,2.848,17477.906,8959,27058,49778.529,6868817,3,3,1
MT12,0,73,1.442,14163.628,9078,20795,20426.206,2818562,3,3,1
MT12,0,74,1.065,12925.653,8927,18813,13769.873,1900071,3,3,1
MT12,0,75,1.805,15530.759,9023,24548,28025.421,3867159,3,3,1
MT12,0,76,2.326,18646.361,8988,30410,43376.973,5985482,3,3,1
MT12,0,77,1.993,17409.029,8999,28666,34695.037,4787483,3,3,1
MT12,0,78,0.833,12589.47,8660,17845,10492.172,1447789,3,3,1
MT12,0,79,2.094,15367.422,8997,23663,32185.405,4441185,3,3,1
MT12,0,80,2.058,16213.127,8986,25282,33369.157,4604528,3,3,1
MT12,0,81,2,17778.638,8947,28164,35560.485,4906904,3,3,1
MT12,0,82,2.218,21334,8989,35312,47310.096,6528204,3,3,1
MT12,0,83,1.631,14617.382,8960,23084,23834.84,3288911,3,3,1
MT12,0,84,1.254,17001.474,9085,27429,21315.366,2941255,3,3,1
MT12,0,85,1.812,18855.776,9074,34227,34162.098,4713944,3,3,1
MT12,0,86,1.355,15285.091,8960,24168,20714.275,2858312,3,3,1
MT12,0,87,1.877,19169.583,8946,34371,35980.943,4964922,3,3,1
MT12,0,88,1.406,17355.067,9036,27089,24399.905,3366883,3,3,1
MT12,0,89,2.131,14642.473,8949,23190,31197.649,4304887,3,3,1
MT12,0,90,4.305,17536.019,8156,27888,75487.936,10416395,3,3,1
MT12,0,91,2.036,16881.263,9015,25624,34377.269,4743635,3,3,1
MT12,0,92,1.145,13994.278,8975,21303,16023.881,2211096,3,3,1
MT12,0,93,1.732,19553.293,9019,30947,33867.093,4673237,3,3,1
MT12,0,94,1.348,20619.113,8959,35202,27793.487,3835155,3,3,1
MT12,0,95,2.131,16729.204,8944,25831,35643.695,4918386,3,3,1
MT12,0,96,1.594,13029.927,9030,19422,20774.223,2866584,3,3,1
MT12,0,97,1.92,17731.408,9085,30269,34052.515,4698823,3,3,1
MT12,0,98,1.036,12246.392,8717,18283,12691.247,1751234,3,3,1
MT12,0,99,1.696,17125.846,8406,28802,29042.099,4007448,3,3,1
MT12,0,100,1.196,11931.23,8066,18223,14266.889,1968653,3,3,1
MT12,0,101,1.884,15192.042,8768,23908,28625.272,3949931,3,3,1
MT12,0,102,2.421,24227.904,9088,44142,58643.843,8092120,3,3,1
MT12,0,103,2.094,24377.799,8950,43503,51056.666,7045184,3,3,1
MT12,0,104,1.645,19905.339,8971,36817,32745.796,4518512,3,3,1
MT12,0,105,1.384,17029.335,8976,27422,23571.714,3252603,3,3,1
MT12,0,106,2.471,16351.499,8329,25065,40408.437,5575861,3,3,1
MT12,0,107,2.565,15602.412,9041,25925,40027.192,5523254,3,3,1
MT12,0,108,4.486,18037.179,8950,30597,80913.201,11165014,3,3,1
MT12,1,1,0.739,8794.186,3582,15291,6500.637,897007,1,3,1
MT12,1,2,0.043,7836.5,6082,9121,340.748,47019,1,3,1
MT12,1,3,0.79,11968.11,5016,22229,9453.926,1304524,1,3,1
MT12,1,4,1.645,12501.987,3392,22110,20566.718,2837951,1,3,1
MT12,1,5,1.848,11128.745,3131,19071,20565.842,2837830,1,3,1
MT12,1,6,1.935,13905.172,832,32023,26905.914,3712681,1,3,1
MT12,1,7,0.717,12626.394,2337,24811,9058.883,1250013,1,3,1
MT12,1,8,0.768,10241.415,3460,17209,7867.304,1085590,1,3,1
MT12,1,9,2.413,14659.895,3517,31340,35378.157,4881745,1,3,1
MT12,1,10,1.855,14851.094,2790,28266,27552.342,3801880,1,3,1
MT12,1,11,1.471,13151.621,3649,22183,19347.971,2669779,1,3,1
MT12,1,12,1.406,10904.041,3489,19193,15330.253,2115384,1,3,1
