MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
WT,1,158,1.181,14327.546,3775,22466,16924.643,2335390,3,5,5
WT,1,159,1.283,18478.768,3483,36567,23703.168,3270742,3,5,5
WT,1,160,1.486,15488.522,3909,28836,23010.388,3175147,3,5,5
WT,1,161,1.696,26772.423,6932,43660,45400.815,6264747,3,5,5
WT,1,162,1.464,25512.282,7354,42304,37347.436,5153481,3,5,5
WT,1,163,1.754,16692.711,2740,28556,29275.367,4039636,3,5,5
WT,1,164,0.812,15411.768,4603,25225,12509.23,1726118,3,5,5
WT,1,165,1.536,19015.83,6601,33357,29215.361,4031356,3,5,5
WT,1,166,0.971,13703,2528,26303,13307.013,1836202,3,5,5
WT,1,167,0.5,9389.826,2613,17428,4695.337,647898,3,5,5
WT,1,168,1.029,22199.592,6643,36600,22845.12,3152342,3,5,5
WT,1,169,1.377,14608.795,3619,26482,20115.373,2775671,3,5,5
WT,1,170,1.703,19364.328,4306,35435,32978.462,4550617,3,5,5
WT,1,171,0.913,11078.317,4105,17731,10115.898,1395868,3,5,5
WT,1,172,1.718,17874.612,4543,31347,30700.474,4236283,3,5,5
WT,1,173,1.109,14168.02,2346,26356,15709.44,2167707,3,5,5
WT,1,174,2.892,23541.459,5562,43890,68071.665,9393042,3,5,5
WT,1,175,1.58,22607.817,4104,41133,35717.021,4928504,3,5,5
WT,1,176,0.594,21240.72,11389,29604,12622.436,1741739,3,5,5
WT,1,177,1.094,17090.166,3536,29590,18701.797,2580615,3,5,5
WT,1,178,0.58,20451.65,12213,29167,11857.099,1636132,3,5,5
WT,1,179,1.623,17375.013,2410,31932,28205.466,3892003,3,5,5
WT,1,180,1.073,17780.932,4960,34220,19071.127,2631578,3,5,5
WT,1,181,1.326,16028.792,1595,30449,21257.491,2933269,3,5,5
WT,1,182,1.116,16196.877,1577,31057,18076.407,2494319,3,5,5
WT,1,183,1.261,14707.23,4985,26268,18545.572,2559058,3,5,5
WT,1,184,1.725,16394.878,4007,33082,28277.777,3901981,3,5,5
WT,1,185,1.949,31364.197,5302,63950,61142.975,8436969,3,5,5
WT,1,186,1.304,21012.711,2772,42004,27410.358,3782288,3,5,5
WT,1,187,3.602,20930.266,6001,40186,75386.094,10402342,3,5,5
WT,1,188,1.442,19693.387,3836,33904,28400.998,3918984,3,5,5
WT,1,189,1.029,20403.218,7988,34948,20996.511,2897257,3,5,5
