"pop","Replicate","morphotype","treatE","morphology","morph.simple","CFUs_Col","CFUs_Rel"
4,"1","MT38","mono","fuzzy","fuzzy",1177.77777777778,444.444444444445
4,"1","MT39","mono","wet+flat","smooth",5300,456.666666666667
4,"1","MT40","mono","anc.wet","smooth",4363.63636363636,-1454.54545454545
4,"1","MT48","anc","anc","anc",3888.88888888889,333.333333333333
4,"2","MT17","bi","wrinkly","wrinkly",42361.1111111111,833.333333333333
4,"2","MT19","bi","anc.var","smooth",2836.87943262411,652.482269503546
4,"2","MT20","bi","wrinkly","wrinkly",78039.2156862745,-3568.62745098039
4,"2","MT37","mono","wet+flat","smooth",3037.03703703704,-1827.16049382716
4,"2","MT38","mono","fuzzy","fuzzy",2988.50574712644,137.931034482759
4,"2","MT39","mono","wet+flat","smooth",4611.11111111111,203.703703703704
4,"2","MT40","mono","anc.wet","smooth",2380.95238095238,-342.857142857143
4,"2","MT48","anc","anc","anc",13120,2000
4,"3","MT17","bi","wrinkly","wrinkly",50752.1367521367,51.2820512820513
4,"3","MT19","bi","anc.var","smooth",216.216216216216,-774.774774774775
4,"3","MT20","bi","wrinkly","wrinkly",54354.1666666667,-3812.5
4,"3","MT37","mono","wet+flat","smooth",2426.66666666667,933.333333333333
4,"3","MT38","mono","fuzzy","fuzzy",8400,133.333333333333
4,"3","MT39","mono","wet+flat","smooth",4818.18181818182,-3151.51515151515
4,"3","MT40","mono","anc.wet","smooth",6694.44444444444,444.444444444444
4,"3","MT48","anc","anc","anc",NA,NA
5,"1","MT21","bi","wrinkly","wrinkly",5546.66666666667,4666.66666666667
5,"1","MT22","bi","wrinkly","wrinkly",1933.33333333333,-486.666666666667
5,"1","MT23","bi","anc.wet","smooth",2666.66666666667,1040
5,"1","MT24","bi","anc.wet","smooth",10400,1911.11111111111
5,"1","MT41","mono","anc.var","smooth",990.476190476191,390.47619047619
5,"1","MT42","mono","wet+flat","smooth",-277.777777777778,547.222222222222
5,"1","MT43","mono","fuzzy","fuzzy",1666.66666666667,6083.33333333333
5,"1","MT48","anc","anc","anc",577.777777777778,142.222222222222
5,"2","MT21","bi","wrinkly","wrinkly",3422.22222222222,-655.555555555555
5,"2","MT22","bi","wrinkly","wrinkly",23733.3333333333,1600
5,"2","MT23","bi","anc.wet","smooth",1019.60784313725,-392.156862745098
5,"2","MT24","bi","anc.wet","smooth",303.030303030303,-60.6060606060603
5,"2","MT41","mono","anc.var","smooth",6733.33333333333,-500
5,"2","MT42","mono","wet+flat","smooth",-844.444444444445,44.4444444444443
5,"2","MT43","mono","fuzzy","fuzzy",4277.77777777778,111.111111111111
5,"2","MT48","anc","anc","anc",3333.33333333333,869.565217391304
5,"3","MT21","bi","wrinkly","wrinkly",-2000,1666.66666666667
5,"3","MT22","bi","wrinkly","wrinkly",99.9999999999991,2833.33333333333
5,"3","MT23","bi","anc.wet","smooth",-1522.22222222222,111.111111111111
5,"3","MT24","bi","anc.wet","smooth",1833.33333333333,733.333333333333
5,"3","MT41","mono","anc.var","smooth",5174.60317460317,1238.09523809524
5,"3","MT42","mono","wet+flat","smooth",333.333333333333,-3222.22222222222
5,"3","MT43","mono","fuzzy","fuzzy",982.456140350877,35.0877192982457
5,"3","MT48","anc","anc","anc",1674.41860465116,-108.527131782946
6,"1","MT25","bi","wrinkly","wrinkly",6637.03703703704,182.962962962963
6,"1","MT26","bi","wrinkly","wrinkly",-5777.77777777778,5611.11111111111
6,"1","MT27","bi","fuzzy","fuzzy",4213.33333333333,240
6,"1","MT44","mono","anc.wet","smooth",24111.1111111111,5666.66666666667
6,"1","MT45","mono","anc.wet","smooth",3964.91228070175,1929.82456140351
6,"1","MT46","mono","fuzzy","fuzzy",36250,2416.66666666667
6,"1","MT47","mono","anc.wet","smooth",5655.55555555556,133.333333333333
6,"1","MT48","anc","anc","anc",2208.33333333333,608.333333333333
6,"2","MT25","bi","wrinkly","wrinkly",-3234.56790123457,5187.65432098765
6,"2","MT26","bi","wrinkly","wrinkly",-38333.3333333333,129416.666666667
6,"2","MT27","bi","fuzzy","fuzzy",6111.11111111111,3555.55555555556
6,"2","MT44","mono","anc.wet","smooth",8333.33333333333,-183.333333333334
6,"2","MT45","mono","anc.wet","smooth",2306.66666666667,-13.3333333333333
6,"2","MT46","mono","fuzzy","fuzzy",3516.66666666667,83.333333333333
6,"2","MT47","mono","anc.wet","smooth",1095.65217391304,-252.173913043478
6,"2","MT48","anc","anc","anc",12450,-383.333333333333
6,"3","MT25","bi","wrinkly","wrinkly",44722.2222222222,9888.88888888889
6,"3","MT26","bi","wrinkly","wrinkly",166857.142857143,16857.1428571429
6,"3","MT27","bi","fuzzy","fuzzy",2060.60606060606,181.818181818183
6,"3","MT44","mono","anc.wet","smooth",666.666666666667,444.444444444444
6,"3","MT45","mono","anc.wet","smooth",6800,-533.333333333334
6,"3","MT46","mono","fuzzy","fuzzy",-13851.8518518519,6296.29629629629
6,"3","MT47","mono","anc.wet","smooth",3703.7037037037,-170.37037037037
6,"3","MT48","anc","anc","anc",900,433.333333333333
