"agar","tp","strain","pop.x","treatE.x","cycle.x","Length.x","rep.x","pop.y","treatE.y","cycle.y","Length.y","rep.y","relTrans"
0.5,24,"MYb11","4","bi",4,2.02291912908243,"3","17","anc",0,2.17965163297045,"1",0.92809286515459
0.5,24,"MYb11","4","bi",4,2.02291912908243,"3","17","anc",0,2.80360497667185,"1",0.721542138038229
0.5,24,"MYb11","4","bi",4,2.02291912908243,"3","17","anc",0,2.94497356143079,"1",0.686905701149862
0.5,24,"MYb11","7","bi",10,1.61049144634526,"3","17","anc",0,2.17965163297045,"1",0.738875617545572
0.5,24,"MYb11","7","bi",10,1.61049144634526,"3","17","anc",0,2.80360497667185,"1",0.574435935071376
0.5,24,"MYb11","7","bi",10,1.61049144634526,"3","17","anc",0,2.94497356143079,"1",0.546861088139213
0.5,24,"MYb11","13","mono",10,1.66316174183515,"5","17","anc",0,2.17965163297045,"1",0.763040165078387
0.5,24,"MYb11","13","mono",10,1.66316174183515,"5","17","anc",0,2.80360497667185,"1",0.593222567256776
0.5,24,"MYb11","13","mono",10,1.66316174183515,"5","17","anc",0,2.94497356143079,"1",0.564745899120097
0.5,24,"MYb11","13","mono",10,2.20840590979782,"3","17","anc",0,2.17965163297045,"1",1.01319214336476
0.5,24,"MYb11","13","mono",10,2.20840590979782,"3","17","anc",0,2.80360497667185,"1",0.787702236289869
0.5,24,"MYb11","13","mono",10,2.20840590979782,"3","17","anc",0,2.94497356143079,"1",0.749889893315336
0.5,24,"MYb11","7","bi",10,0.364404354587869,"5","17","anc",0,2.17965163297045,"1",0.167184677163871
0.5,24,"MYb11","7","bi",10,0.364404354587869,"5","17","anc",0,2.80360497667185,"1",0.129977067960713
0.5,24,"MYb11","7","bi",10,0.364404354587869,"5","17","anc",0,2.94497356143079,"1",0.123737733798475
0.5,24,"MYb11","7","bi",10,1.56652721617418,"4","17","anc",0,2.17965163297045,"1",0.718705316243268
0.5,24,"MYb11","7","bi",10,1.56652721617418,"4","17","anc",0,2.80360497667185,"1",0.558754613866395
0.5,24,"MYb11","7","bi",10,1.56652721617418,"4","17","anc",0,2.94497356143079,"1",0.531932522821393
0.5,24,"MYb11","13","mono",10,1.17989113530327,"6","17","anc",0,2.17965163297045,"1",0.541320969578656
0.5,24,"MYb11","13","mono",10,1.17989113530327,"6","17","anc",0,2.80360497667185,"1",0.42084785307519
0.5,24,"MYb11","13","mono",10,1.17989113530327,"6","17","anc",0,2.94497356143079,"1",0.400645747980849
0.5,24,"MYb11","7","bi",10,0.366317262830482,"6","17","anc",0,2.17965163297045,"1",0.168062298254176
0.5,24,"MYb11","7","bi",10,0.366317262830482,"6","17","anc",0,2.80360497667185,"1",0.130659371016432
0.5,24,"MYb11","7","bi",10,0.366317262830482,"6","17","anc",0,2.94497356143079,"1",0.12438728402455
3.4,168,"MYb11","5","mono",4,1.23778693623639,"2","17","anc",0,0.933704510108865,"1",1.32567308268873
3.4,168,"MYb11","5","mono",4,1.23778693623639,"2","17","anc",0,0.914094867807154,"1",1.35411211661843
3.4,168,"MYb11","5","mono",4,1.23778693623639,"2","17","anc",0,1.02100311041991,"1",1.21232435396532
3.4,168,"MYb11","4","bi",4,1.03348133748056,"5","17","anc",0,0.933704510108865,"1",1.10686124602746
3.4,168,"MYb11","4","bi",4,1.03348133748056,"5","17","anc",0,0.914094867807154,"1",1.130606213729
3.4,168,"MYb11","4","bi",4,1.03348133748056,"5","17","anc",0,1.02100311041991,"1",1.01222153677428
3.4,168,"MYb11","4","bi",4,0.812827371695179,"2","17","anc",0,0.933704510108865,"1",0.870540265035678
3.4,168,"MYb11","4","bi",4,0.812827371695179,"2","17","anc",0,0.914094867807154,"1",0.889215551166031
3.4,168,"MYb11","4","bi",4,0.812827371695179,"2","17","anc",0,1.02100311041991,"1",0.7961066556995
3.4,168,"MYb11","5","mono",4,0.899314152410575,"3","17","anc",0,0.933704510108865,"1",0.963167835941716
3.4,168,"MYb11","5","mono",4,0.899314152410575,"3","17","anc",0,0.914094867807154,"1",0.983830217281455
3.4,168,"MYb11","5","mono",4,0.899314152410575,"3","17","anc",0,1.02100311041991,"1",0.880814312152992
3.4,168,"MYb11","4","bi",4,0.935769051321929,"6","17","anc",0,0.933704510108865,"1",1.00221112909996
3.4,168,"MYb11","4","bi",4,0.935769051321929,"6","17","anc",0,0.914094867807154,"1",1.02371108763226
3.4,168,"MYb11","4","bi",4,0.935769051321929,"6","17","anc",0,1.02100311041991,"1",0.916519295359518
3.4,168,"MYb11","4","bi",4,0.975667185069984,"3","17","anc",0,0.933704510108865,"1",1.04494213587576
3.4,168,"MYb11","4","bi",4,0.975667185069984,"3","17","anc",0,0.914094867807154,"1",1.06735878236636
3.4,168,"MYb11","4","bi",4,0.975667185069984,"3","17","anc",0,1.02100311041991,"1",0.955596682431969
3.4,168,"MYb11","5","mono",4,1.32357387247278,"4","17","anc",0,0.933704510108865,"1",1.41755111830665
3.4,168,"MYb11","5","mono",4,1.32357387247278,"4","17","anc",0,0.914094867807154,"1",1.4479611680218
3.4,168,"MYb11","5","mono",4,1.32357387247278,"4","17","anc",0,1.02100311041991,"1",1.29634656247858
