"pop","Replicate","morphotype","treatE","morphology","morph.simple","CFUs"
4,"3","MT17","bi","wrinkly","wrinkly",1809.52380952381
4,"3","MT19","bi","anc.var","smooth",NA
4,"3","MT20","bi","wrinkly","wrinkly",89233.3333333333
4,"3","MT37","mono","wet+flat","smooth",16303.0303030303
4,"3","MT38","mono","fuzzy","fuzzy",11888.8888888889
4,"3","MT39","mono","wet+flat","smooth",-2133.33333333333
4,"3","MT40","mono","anc.wet","smooth",21600
4,"3","MT48","anc","anc","anc",17523.8095238095
5,"1","MT21","bi","wrinkly","wrinkly",1186.66666666667
5,"1","MT22","bi","wrinkly","wrinkly",2853.33333333333
5,"1","MT23","bi","anc.wet","smooth",2444.44444444444
5,"1","MT24","bi","anc.wet","smooth",10333.3333333333
5,"1","MT41","mono","anc.var","smooth",320
5,"1","MT42","mono","wet+flat","smooth",5033.33333333333
5,"1","MT43","mono","fuzzy","fuzzy",880.833333333333
5,"1","MT48","anc","anc","anc",866.666666666667
5,"2","MT21","bi","wrinkly","wrinkly",10026.6666666667
5,"2","MT22","bi","wrinkly","wrinkly",11177.7777777778
5,"2","MT23","bi","anc.wet","smooth",19333.3333333333
5,"2","MT24","bi","anc.wet","smooth",13466.6666666667
5,"2","MT41","mono","anc.var","smooth",5580.95238095238
5,"2","MT42","mono","wet+flat","smooth",4950
5,"2","MT43","mono","fuzzy","fuzzy",3171.42857142857
5,"2","MT48","anc","anc","anc",2161.90476190476
5,"3","MT21","bi","wrinkly","wrinkly",966.666666666666
5,"3","MT22","bi","wrinkly","wrinkly",4344.44444444444
5,"3","MT23","bi","anc.wet","smooth",-7155.55555555556
5,"3","MT24","bi","anc.wet","smooth",5904.76190476191
5,"3","MT41","mono","anc.var","smooth",11866.6666666667
5,"3","MT42","mono","wet+flat","smooth",740.740740740741
5,"3","MT43","mono","fuzzy","fuzzy",66.6666666666667
5,"3","MT48","anc","anc","anc",866.666666666667
6,"1","MT25","bi","wrinkly","wrinkly",NA
6,"1","MT26","bi","wrinkly","wrinkly",8133.33333333333
6,"1","MT27","bi","fuzzy","fuzzy",361333.333333333
6,"1","MT44","mono","anc.wet","smooth",74222.2222222222
6,"1","MT45","mono","anc.wet","smooth",32000
6,"1","MT46","mono","fuzzy","fuzzy",92222.2222222222
6,"1","MT47","mono","anc.wet","smooth",-16333.3333333333
6,"1","MT48","anc","anc","anc",77400
6,"2","MT25","bi","wrinkly","wrinkly",NA
6,"2","MT26","bi","wrinkly","wrinkly",435333.333333333
6,"2","MT27","bi","fuzzy","fuzzy",315000
6,"2","MT44","mono","anc.wet","smooth",120666.666666667
6,"2","MT45","mono","anc.wet","smooth",13500
6,"2","MT46","mono","fuzzy","fuzzy",22888.8888888889
6,"2","MT47","mono","anc.wet","smooth",67333.3333333333
6,"2","MT48","anc","anc","anc",151333.333333333
6,"3","MT25","bi","wrinkly","wrinkly",NA
6,"3","MT26","bi","wrinkly","wrinkly",NA
6,"3","MT27","bi","fuzzy","fuzzy",81333.3333333333
6,"3","MT44","mono","anc.wet","smooth",68000
6,"3","MT45","mono","anc.wet","smooth",117000
6,"3","MT46","mono","fuzzy","fuzzy",30222.2222222222
6,"3","MT47","mono","anc.wet","smooth",108000
6,"3","MT48","anc","anc","anc",7666.66666666666
