"pop","rep","tp","agar","morphotype","treatE","morphology","morph.simple","Length"
1,2,"24h","5 g/l","MT2","bi","fuzzy","fuzzy",0.590164852255054
1,2,"24h","5 g/l","MT28","mono","wet+flat","smooth",2.90512441679627
1,2,"24h","5 g/l","MT29","mono","anc.wet","smooth",0.384284603421462
1,2,"24h","5 g/l","MT3","bi","anc.wet","smooth",0.450993779160187
1,2,"24h","5 g/l","MT4","bi","wrinkly","wrinkly",0.455612752721617
1,2,"24h","5 g/l","MT48","anc","anc","anc",3.72989113530327
1,2,"24h","5 g/l","MT5","bi","wrinkly","wrinkly",0.46805598755832
1,2,"24h","5 g/l","MT6","bi","anc.var","smooth",3.13758475894246
1,2,"24h","5 g/l","MT7","bi","anc.like","smooth",3.52543856920684
1,2,"3d","34 g/l","MT1","bi","anc.like","smooth",0.828335925349922
1,2,"3d","34 g/l","MT2","bi","fuzzy","fuzzy",1.04059875583204
1,2,"3d","34 g/l","MT28","mono","wet+flat","smooth",0.898908242612753
1,2,"3d","34 g/l","MT29","mono","anc.wet","smooth",0.83399066874028
1,2,"3d","34 g/l","MT3","bi","anc.wet","smooth",0.85644167962675
1,2,"3d","34 g/l","MT4","bi","wrinkly","wrinkly",0.713099533437014
1,2,"3d","34 g/l","MT48","anc","anc","anc",0.678303265940902
1,2,"3d","34 g/l","MT5","bi","wrinkly","wrinkly",0.728790046656299
1,2,"3d","34 g/l","MT6","bi","anc.var","smooth",0.955987558320373
1,2,"3d","34 g/l","MT7","bi","anc.like","smooth",0.905276827371695
1,2,"3d","5 g/l","MT1","bi","anc.like","smooth",0.974211508553655
1,2,"3d","5 g/l","MT2","bi","fuzzy","fuzzy",1.36899377916019
1,2,"3d","5 g/l","MT28","mono","wet+flat","smooth",9.70589113530327
1,2,"3d","5 g/l","MT29","mono","anc.wet","smooth",0.656384136858476
1,2,"3d","5 g/l","MT3","bi","anc.wet","smooth",6.97351632970451
1,2,"3d","5 g/l","MT4","bi","wrinkly","wrinkly",6.32175116640746
1,2,"3d","5 g/l","MT48","anc","anc","anc",10.017531881804
1,2,"3d","5 g/l","MT5","bi","wrinkly","wrinkly",3.76099222395023
1,2,"3d","5 g/l","MT6","bi","anc.var","smooth",9.36781026438569
1,2,"3d","5 g/l","MT7","bi","anc.like","smooth",9.16146811819596
1,2,"7d","34 g/l","MT1","bi","anc.like","smooth",1.42349766718507
1,2,"7d","34 g/l","MT2","bi","fuzzy","fuzzy",2.39905287713841
1,2,"7d","34 g/l","MT28","mono","wet+flat","smooth",1.07661275272162
1,2,"7d","34 g/l","MT29","mono","anc.wet","smooth",1.56942923794712
1,2,"7d","34 g/l","MT3","bi","anc.wet","smooth",1.36248522550544
1,2,"7d","34 g/l","MT4","bi","wrinkly","wrinkly",1.26863608087092
1,2,"7d","34 g/l","MT48","anc","anc","anc",1.25414930015552
1,2,"7d","34 g/l","MT5","bi","wrinkly","wrinkly",1.04260031104199
1,2,"7d","34 g/l","MT6","bi","anc.var","smooth",1.49311819595645
1,2,"7d","34 g/l","MT7","bi","anc.like","smooth",1.66295645412131
1,2,"7d","5 g/l","MT1","bi","anc.like","smooth",1.73400466562986
1,2,"7d","5 g/l","MT2","bi","fuzzy","fuzzy",2.52600466562986
1,2,"7d","5 g/l","MT28","mono","wet+flat","smooth",9.59219440124417
1,2,"7d","5 g/l","MT29","mono","anc.wet","smooth",0.774209953343701
1,2,"7d","5 g/l","MT3","bi","anc.wet","smooth",9.83180715396579
1,2,"7d","5 g/l","MT4","bi","wrinkly","wrinkly",9.3035365474339
1,2,"7d","5 g/l","MT48","anc","anc","anc",9.69477760497667
1,2,"7d","5 g/l","MT5","bi","wrinkly","wrinkly",9.59134059097978
1,2,"7d","5 g/l","MT6","bi","anc.var","smooth",9.69376982892691
1,2,"7d","5 g/l","MT7","bi","anc.like","smooth",9.60599533437014
1,3,"24h","34 g/l","MT1","bi","anc.like","smooth",0.561429237947123
1,3,"24h","34 g/l","MT2","bi","fuzzy","fuzzy",0.644332814930015
1,3,"24h","34 g/l","MT28","mono","wet+flat","smooth",0.612181959564541
1,3,"24h","34 g/l","MT29","mono","anc.wet","smooth",0.579737169517885
1,3,"24h","34 g/l","MT3","bi","anc.wet","smooth",0.54153965785381
1,3,"24h","34 g/l","MT4","bi","wrinkly","wrinkly",0.592810264385692
1,3,"24h","34 g/l","MT48","anc","anc","anc",0.620370139968896
1,3,"24h","34 g/l","MT5","bi","wrinkly","wrinkly",0.46655832037325
1,3,"24h","34 g/l","MT6","bi","anc.var","smooth",0.543457231726283
1,3,"24h","34 g/l","MT7","bi","anc.like","smooth",0.534415241057543
1,3,"24h","5 g/l","MT1","bi","anc.like","smooth",0.50250233281493
1,3,"24h","5 g/l","MT2","bi","fuzzy","fuzzy",0.513475894245723
1,3,"24h","5 g/l","MT28","mono","wet+flat","smooth",2.29154276827372
1,3,"24h","5 g/l","MT29","mono","anc.wet","smooth",0.30892534992224
1,3,"24h","5 g/l","MT3","bi","anc.wet","smooth",0.589269051321928
1,3,"24h","5 g/l","MT4","bi","wrinkly","wrinkly",0.440454121306376
1,3,"24h","5 g/l","MT48","anc","anc","anc",3.49552721617418
1,3,"24h","5 g/l","MT5","bi","wrinkly","wrinkly",0.513475894245723
1,3,"24h","5 g/l","MT6","bi","anc.var","smooth",3.43105754276827
1,3,"24h","5 g/l","MT7","bi","anc.like","smooth",2.65329237947123
1,3,"3d","34 g/l","MT1","bi","anc.like","smooth",0.915228615863142
1,3,"3d","34 g/l","MT2","bi","fuzzy","fuzzy",1.24381959564541
1,3,"3d","34 g/l","MT28","mono","wet+flat","smooth",0.82643234836703
1,3,"3d","34 g/l","MT29","mono","anc.wet","smooth",0.887206842923795
1,3,"3d","34 g/l","MT3","bi","anc.wet","smooth",0.804443234836703
1,3,"3d","34 g/l","MT4","bi","wrinkly","wrinkly",0.777807153965785
1,3,"3d","34 g/l","MT48","anc","anc","anc",0.702755832037325
1,3,"3d","34 g/l","MT5","bi","wrinkly","wrinkly",0.688241057542768
1,3,"3d","34 g/l","MT6","bi","anc.var","smooth",0.887206842923795
1,3,"3d","34 g/l","MT7","bi","anc.like","smooth",0.803351477449456
1,3,"3d","5 g/l","MT1","bi","anc.like","smooth",3.41529704510109
1,3,"3d","5 g/l","MT2","bi","fuzzy","fuzzy",1.25539502332815
1,3,"3d","5 g/l","MT28","mono","wet+flat","smooth",9.18061586314152
1,3,"3d","5 g/l","MT29","mono","anc.wet","smooth",0.559259720062208
1,3,"3d","5 g/l","MT3","bi","anc.wet","smooth",0.977780715396579
1,3,"3d","5 g/l","MT4","bi","wrinkly","wrinkly",6.93173561430793
1,3,"3d","5 g/l","MT48","anc","anc","anc",9.58840124416796
1,3,"3d","5 g/l","MT5","bi","wrinkly","wrinkly",3.63741368584759
1,3,"3d","5 g/l","MT6","bi","anc.var","smooth",9.67001710730949
1,3,"3d","5 g/l","MT7","bi","anc.like","smooth",9.01592846034215
1,3,"7d","34 g/l","MT1","bi","anc.like","smooth",1.3199066874028
1,3,"7d","34 g/l","MT2","bi","fuzzy","fuzzy",2.34064385692068
1,3,"7d","34 g/l","MT28","mono","wet+flat","smooth",1.38668584758942
1,3,"7d","34 g/l","MT29","mono","anc.wet","smooth",1.88500311041991
1,3,"7d","34 g/l","MT3","bi","anc.wet","smooth",1.66974494556765
1,3,"7d","34 g/l","MT4","bi","wrinkly","wrinkly",1.35120373250389
1,3,"7d","34 g/l","MT48","anc","anc","anc",1.19498444790047
1,3,"7d","34 g/l","MT5","bi","wrinkly","wrinkly",0.893659409020218
1,3,"7d","34 g/l","MT6","bi","anc.var","smooth",1.38567807153966
1,3,"7d","34 g/l","MT7","bi","anc.like","smooth",1.17943390357698
1,3,"7d","5 g/l","MT1","bi","anc.like","smooth",1.76180248833593
1,3,"7d","5 g/l","MT2","bi","fuzzy","fuzzy",2.5649300155521
1,3,"7d","5 g/l","MT28","mono","wet+flat","smooth",9.62603888024883
1,3,"7d","5 g/l","MT29","mono","anc.wet","smooth",0.86996267496112
1,3,"7d","5 g/l","MT3","bi","anc.wet","smooth",9.63407309486781
1,3,"7d","5 g/l","MT4","bi","wrinkly","wrinkly",9.45622861586314
1,3,"7d","5 g/l","MT48","anc","anc","anc",10.0495427682737
1,3,"7d","5 g/l","MT5","bi","wrinkly","wrinkly",5.19260808709176
1,3,"7d","5 g/l","MT6","bi","anc.var","smooth",9.98554898911353
1,3,"7d","5 g/l","MT7","bi","anc.like","smooth",9.55296111975117
2,1,"24h","34 g/l","MT30","mono","anc.var","smooth",0.656384136858476
2,1,"24h","34 g/l","MT31","mono","wet+flat","smooth",0.638902021772939
2,1,"24h","34 g/l","MT32","mono","fuzzy","fuzzy",0.710650077760498
2,1,"24h","34 g/l","MT48","anc","anc","anc",0.597485225505443
2,1,"24h","34 g/l","MT8","bi","wrinkly","wrinkly",0.633695178849145
2,1,"24h","34 g/l","MT9","bi","wrinkly","wrinkly",0.611328149300156
2,1,"24h","5 g/l","MT30","mono","anc.var","smooth",2.73296267496112
2,1,"24h","5 g/l","MT31","mono","wet+flat","smooth",0.410570762052877
2,1,"24h","5 g/l","MT32","mono","fuzzy","fuzzy",0.567601866251944
2,1,"24h","5 g/l","MT48","anc","anc","anc",2.30215241057543
2,1,"24h","5 g/l","MT8","bi","wrinkly","wrinkly",0.49798133748056
2,1,"24h","5 g/l","MT9","bi","wrinkly","wrinkly",0.54153965785381
2,1,"3d","34 g/l","MT30","mono","anc.var","smooth",0.877339035769829
2,1,"3d","34 g/l","MT31","mono","wet+flat","smooth",0.752304821150855
2,1,"3d","34 g/l","MT32","mono","fuzzy","fuzzy",1.1254898911353
2,1,"3d","34 g/l","MT48","anc","anc","anc",0.958353032659409
2,1,"3d","34 g/l","MT8","bi","wrinkly","wrinkly",0.620370139968896
2,1,"3d","34 g/l","MT9","bi","wrinkly","wrinkly",0.811119751166407
2,1,"3d","5 g/l","MT30","mono","anc.var","smooth",8.13559409020218
2,1,"3d","5 g/l","MT31","mono","wet+flat","smooth",0.633695178849145
2,1,"3d","5 g/l","MT32","mono","fuzzy","fuzzy",1.37711197511664
2,1,"3d","5 g/l","MT48","anc","anc","anc",7.25856298600311
2,1,"3d","5 g/l","MT8","bi","wrinkly","wrinkly",4.22630482115086
2,1,"3d","5 g/l","MT9","bi","wrinkly","wrinkly",3.25739813374806
2,1,"7d","34 g/l","MT30","mono","anc.var","smooth",1.49545567651633
2,1,"7d","34 g/l","MT31","mono","wet+flat","smooth",1.16248367029549
2,1,"7d","34 g/l","MT32","mono","fuzzy","fuzzy",2.19996111975117
2,1,"7d","34 g/l","MT48","anc","anc","anc",1.49078071539658
2,1,"7d","34 g/l","MT8","bi","wrinkly","wrinkly",0.918265940902022
2,1,"7d","34 g/l","MT9","bi","wrinkly","wrinkly",0.97044634525661
2,1,"7d","5 g/l","MT30","mono","anc.var","smooth",8.95866718506998
2,1,"7d","5 g/l","MT31","mono","wet+flat","smooth",1.02031726283048
2,1,"7d","5 g/l","MT32","mono","fuzzy","fuzzy",2.01633592534992
2,1,"7d","5 g/l","MT48","anc","anc","anc",8.34707309486781
2,1,"7d","5 g/l","MT8","bi","wrinkly","wrinkly",8.64237947122862
2,1,"7d","5 g/l","MT9","bi","wrinkly","wrinkly",4.30598911353033
2,2,"24h","34 g/l","MT30","mono","anc.var","smooth",0.621489891135303
