MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
MT22,0,35,1.333,47450.429,23285,65535,63272.95,8730879,1,5,1
MT22,0,36,0.884,43916.18,23221,65376,38827.954,5357774,1,5,1
MT22,0,37,1.319,38239.813,23186,55733,50436.769,6959646,1,5,1
MT22,0,38,1.413,42321.559,23463,62564,59807.601,8252704,1,5,1
MT22,0,39,1.399,46367.959,23476,65535,64853.795,8949016,1,5,1
MT22,0,40,1.87,51715.38,23282,65535,96694.002,13342568,1,5,1
MT22,0,41,1.167,35772.304,23223,53010,41738.122,5759341,1,5,1
MT22,0,42,1.551,41758.509,23211,64163,64761.794,8936321,1,5,1
MT22,0,43,1.355,39473.187,23171,60317,53493.857,7381486,1,5,1
MT22,0,44,1.652,48696.789,23277,65535,80462.827,11102868,1,5,1
MT22,0,45,1.152,45259.333,23315,64987,52151.33,7196234,1,5,1
MT22,0,46,1.536,47910.778,23344,65535,73608.708,10157085,1,5,1
MT22,0,47,1.022,39221.794,23583,60141,40078.059,5530273,1,5,1
MT22,0,48,1.674,51823.896,23185,65535,86756.526,11971320,1,5,1
MT22,0,49,2.022,46157.312,23256,65535,93326.466,12877890,1,5,1
MT22,0,50,2.007,44020.484,23186,64678,88367.932,12193674,1,5,1
MT22,0,51,1.783,50736.524,23285,65535,90451.533,12481185,1,5,1
MT22,0,52,1.464,46658.599,23611,65484,68303.534,9425037,1,5,1
MT22,0,53,1.891,43879.398,23190,65480,82996.788,11452523,1,5,1
MT22,0,54,1.036,40451.112,23221,60411,41920.515,5784509,1,5,1
MT22,0,55,1.725,50995.475,23245,65535,87956.656,12136923,1,5,1
MT22,0,56,1.942,47668.951,23237,65535,92582.841,12775279,1,5,1
MT22,0,57,2.239,49462.935,23443,65535,110763.96,15284047,1,5,1
MT22,0,58,1.21,42033.838,23297,63861,50871.627,7019651,1,5,1
MT22,0,59,2.732,46718.907,23203,65535,127642.158,17613028,1,5,1
MT22,0,60,2.964,48029.582,23208,65535,142361.392,19644099,1,5,1
MT22,0,61,1.587,48071.416,23192,65535,76294.132,10527640,1,5,1
MT22,0,62,1.638,49350.854,23512,65535,80828.259,11153293,1,5,1
MT22,0,63,1.486,50237.244,23316,65535,74634.526,10298635,1,5,1
MT22,0,64,1.377,46016.395,23231,65535,63361.624,8743115,1,5,1
MT22,0,65,1.261,48949.052,23215,65535,61723.94,8517135,1,5,1
MT22,0,66,1.725,49523.387,23436,65535,85417.608,11786566,1,5,1
MT22,0,67,1.377,43832.468,23311,65230,60354.498,8328169,1,5,1
MT22,0,68,1.297,46167.056,23232,65414,59888.76,8263903,1,5,1
MT22BG,0,69,2.87,156.23,119,638,448.352,61867,1,5,1
MT22BG,0,70,2.899,139.632,118,404,404.768,55853,1,5,1
MT22BG,0,71,3.508,142.558,120,425,500.031,68998,1,5,1
MT22BG,0,72,2.725,139.457,121,326,380.005,52436,1,5,1
MT22BG,0,73,0.377,203.519,127,556,76.695,10583,1,5,1
MT22,1,1,1.558,19293.944,2868,35322,30062.119,4148198,1,5,1
MT22,1,2,1.094,16055.06,951,27955,17569.078,2424314,1,5,1
MT22,1,3,1.478,23935.485,4096,39292,35386.085,4882839,1,5,1
MT22,1,4,1.16,16434.194,2480,36292,19055.857,2629471,1,5,1
MT22,1,5,1.761,34863.177,4475,63621,61395.048,8471752,1,5,1
MT22,1,6,1.942,30332.183,3719,55981,58911.295,8129025,1,5,1
MT22,1,7,2.073,19035.773,2384,38847,39454.51,5444231,1,5,1
MT22,1,8,3.37,22630.525,4533,48474,76261.912,10523194,1,5,1
MT22,1,9,1.493,21789.015,3773,44157,32528.566,4488537,1,5,1
MT22,1,10,1.833,21691.19,2685,44452,39770.771,5487871,1,5,1
MT22,1,11,1.58,17049.326,2070,34069,26935.424,3716753,1,5,1
MT22,1,12,2.029,20574.604,2894,44257,41749.34,5760889,1,5,1
MT22,1,13,1.073,19346.264,5235,37793,20750.039,2863247,1,5,1
MT22,1,14,1.261,20785.575,3216,38790,26210.264,3616690,1,5,1
MT22,1,15,1.696,22616.692,2704,41019,38353.505,5292306,1,5,1
MT22,1,16,1.377,21733.837,3280,42402,29926.099,4129429,1,5,1
MT22,1,17,1.087,20129.147,3423,37463,21881.482,3019372,1,5,1
MT22,1,18,1.196,14914.57,3260,28532,17834.247,2460904,1,5,1
MT22,1,19,1.725,22637.525,1240,45856,39045.053,5387731,1,5,1
MT22,1,20,1.486,17877.015,1869,38811,26558.832,3664788,1,5,1
MT22,1,21,2.123,21735.29,1503,50873,46152.281,6368440,1,5,1
MT22,1,22,1.116,24061.89,4813,43550,26854.098,3705531,1,5,1
MT22,1,23,0.804,27310.631,4937,50649,21969.229,3031480,1,5,1
MT22,1,24,1.029,19592.43,5561,35686,20162.146,2782125,1,5,1
MT22,1,25,1.094,18553.993,3341,37985,20303.666,2801653,1,5,1
MT22,1,26,1.747,23378.544,4481,46398,40831.431,5634229,1,5,1
MT22,1,27,1.906,22071.662,2957,38363,42067.905,5804847,1,5,1
MT22,1,28,0.949,15680.092,4286,29661,14886.068,2054092,1,5,1
MT22,1,29,1.065,18162,3558,30084,19348.224,2669814,1,5,1
MT22,1,30,0.696,11830.385,4349,23459,8230.576,1135717,1,5,1
MT22,1,31,1.442,25501.08,5520,44879,36776.616,5074715,1,5,1
MT22,1,32,1.768,23824.668,2963,52934,42128.578,5813219,1,5,1
MT22,1,33,1.246,27527.959,11019,44143,34313.307,4734809,1,5,1
MT22,1,34,1.616,16467.525,4093,30853,26612.967,3672258,1,5,1
MT22,1,35,1.333,20791.962,2862,43972,27725.118,3825721,1,5,1
MT22,1,36,0.884,18169.492,4112,32738,16064.334,2216678,1,5,1
MT22,1,37,1.319,27355.61,9107,45982,36080.945,4978721,1,5,1
MT22,1,38,1.413,19403.646,4938,34312,27420.67,3783711,1,5,1
MT22,1,39,1.399,20090.197,3955,35883,28099.695,3877408,1,5,1
MT22,1,40,1.87,31632.035,4153,58584,59143.49,8161065,1,5,1
MT22,1,41,1.167,19584.826,4547,34740,22851.026,3153157,1,5,1
MT22,1,42,1.551,15003.042,2711,28262,23267.687,3210651,1,5,1
MT22,1,43,1.355,19580.203,4597,36603,26534.989,3661498,1,5,1
