id,strain,rep
1,WT,1
2,MT11,1
3,MT12,1
4,MT13,1
5,MT21,1
6,MT25,1
7,MT26,1
8,MT33,1
9,MT13,2
10,MT26,2
11,MT25,2
12,MT33,2
13,WT,2
14,MT21,2
15,MT11,2
16,MT12,2
17,MT21,3
18,MT12,3
19,WT,3
20,MT26,3
21,MT13,3
22,MT33,3
23,MT25,3
24,MT11,3
25,PBS,1
