Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
1;W;12;AL;12;11;13;2;20;MT48;MT48+MTdT
1;S;12;AL;1;0;0;2;20;MT48;MT48+MTdT
1;W;12;dT;6;3;5;2;20;MTdT;MT48+MTdT
1;S;12;dT;0;0;0;2;20;MTdT;MT48+MTdT
1;W;13;W;7;1;5;3;20;MT14*;MT14*+MTdT
1;S;13;W;1;0;0;2;20;MT14*;MT14*+MTdT
1;W;13;dT;3;2;4;3;20;MTdT;MT14*+MTdT
1;S;13;dT;0;0;0;2;20;MTdT;MT14*+MTdT
1;W;14;W;70;79;61;3;20;MT22*;MT22*+MTdT
1;S;14;W;10;8;6;2;20;MT22*;MT22*+MTdT
1;W;14;dT;9;9;8;3;20;MTdT;MT22*+MTdT
1;S;14;dT;5;1;2;2;20;MTdT;MT22*+MTdT
1;W;15;AL;1;4;3;2;20;MT22S;MT22S+MTdT
1;S;15;AL;1;2;0;2;20;MT22S;MT22S+MTdT
1;W;15;dT;6;3;4;2;20;MTdT;MT22S+MTdT
1;S;15;dT;2;0;1;2;20;MTdT;MT22S+MTdT
1;W;16;W;13;12;10;3;20;193*;193*+193
1;S;16;W;6;6;2;2;20;193*;193*+193
1;W;16;AL;0;0;2;3;20;193;193*+193
1;S;16;AL;0;0;0;2;20;193;193*+193
2;W;12;W;13;18;16;2;20;MT22*;MT22*+MTdT
2;S;12;W;5;4;0;2;20;MT22*;MT22*+MTdT
2;W;12;dT;14;19;9;2;20;MTdT;MT22*+MTdT
2;S;12;dT;1;2;1;2;20;MTdT;MT22*+MTdT
2;W;13;W;7;8;9;3;20;MT14*;MT14*+MTdT
2;S;13;W;1;4;3;2;20;MT14*;MT14*+MTdT
2;W;13;dT;4;1;1;3;20;MTdT;MT14*+MTdT
2;S;13;dT;1;0;0;2;20;MTdT;MT14*+MTdT
2;W;14;AL;25;24;20;3;20;MT48;MT48+MTdT
2;S;14;AL;2;3;6;3;20;MT48;MT48+MTdT
2;W;14;dT;2;2;3;3;20;MTdT;MT48+MTdT
2;S;14;dT;0;0;0;3;20;MTdT;MT48+MTdT
2;W;15;AL;6;2;3;3;20;MT22S;MT22S+MTdT
2;S;15;AL;1;2;0;3;20;MT22S;MT22S+MTdT
2;W;15;dT;3;3;5;3;20;MTdT;MT22S+MTdT
2;S;15;dT;2;0;0;3;20;MTdT;MT22S+MTdT
2;W;16;W;50;46;39;4;20;193*;193*+193
2;S;16;W;0;0;0;4;20;193*;193*+193
2;W;16;AL;1;4;2;4;20;193;193*+193
2;S;16;AL;0;0;0;4;20;193;193*+193
3;W;12;AL;7;8;4;2;20;MT48;MT48+MTdT
3;S;12;AL;4;2;1;2;20;MT48;MT48+MTdT
3;W;12;dT;9;6;1;2;20;MTdT;MT48+MTdT
3;S;12;dT;3;2;0;2;20;MTdT;MT48+MTdT
3;W;13;W;9;8;4;2;20;MT14*;MT14*+MTdT
3;S;13;W;4;4;1;2;20;MT14*;MT14*+MTdT
3;W;13;dT;14;8;1;2;20;MTdT;MT14*+MTdT
3;S;13;dT;0;2;0;2;20;MTdT;MT14*+MTdT
3;W;14;W;13;22;17;4;20;MT22*;MT22*+MTdT
3;S;14;W;77;58;12;3;20;MT22*;MT22*+MTdT
3;W;14;dT;2;0;1;4;20;MTdT;MT22*+MTdT
3;S;14;dT;14;11;2;3;20;MTdT;MT22*+MTdT
3;W;15;AL;5;5;5;2;20;MT22S;MT22S+MTdT
3;S;15;AL;4;3;0;2;20;MT22S;MT22S+MTdT
3;W;15;dT;10;8;2;2;20;MTdT;MT22S+MTdT
3;S;15;dT;2;1;0;2;20;MTdT;MT22S+MTdT
3;W;16;W;7;7;3;2;20;193*;193*+193
3;S;16;W;0;0;0;0;20;193*;193*+193
3;W;16;AL;1;1;0;2;20;193;193*+193
3;S;16;AL;0;0;0;0;20;193;193*+193
4;W;12;AL;14;15;7;2;20;MT48;MT48+MTdT
4;S;12;AL;0;2;1;2;20;MT48;MT48+MTdT
4;W;12;dT;7;5;8;2;20;MTdT;MT48+MTdT
4;S;12;dT;2;0;2;2;20;MTdT;MT48+MTdT
4;W;13;W;5;14;12;3;20;MT14*;MT14*+MTdT
4;S;13;W;6;12;4;2;20;MT14*;MT14*+MTdT
4;W;13;dT;1;2;3;3;20;MTdT;MT14*+MTdT
4;S;13;dT;2;4;5;2;20;MTdT;MT14*+MTdT
4;W;14;W;4;7;11;4;20;MT22*;MT22*+MTdT
4;S;14;W;10;10;9;3;20;MT22*;MT22*+MTdT
4;W;14;dT;1;1;0;4;20;MTdT;MT22*+MTdT
4;S;14;dT;0;1;1;3;20;MTdT;MT22*+MTdT
4;W;15;AL;8;8;3;2;20;MT22S;MT22S+MTdT
4;S;15;AL;0;0;0;0;20;MT22S;MT22S+MTdT
4;W;15;dT;5;7;1;2;20;MTdT;MT22S+MTdT
4;S;15;dT;0;0;0;0;20;MTdT;MT22S+MTdT
4;W;16;W;11;11;12;4;20;193*;193*+193
4;S;16;W;0;0;0;0;20;193*;193*+193
4;W;16;AL;0;2;0;4;20;193;193*+193
4;S;16;AL;0;0;0;0;20;193;193*+193
5;W;12;AL;15;16;25;4;20;MT48;MT48+MTdT
5;S;12;AL;17;18;3;3;20;MT48;MT48+MTdT
5;W;12;dT;0;3;2;4;20;MTdT;MT48+MTdT
5;S;12;dT;0;2;3;3;20;MTdT;MT48+MTdT
5;W;13;W;9;9;10;3;20;MT14*;MT14*+MTdT
5;S;13;W;49;50;39;3;20;MT14*;MT14*+MTdT
5;W;13;dT;1;3;1;3;20;MTdT;MT14*+MTdT
5;S;13;dT;10;18;7;3;20;MTdT;MT14*+MTdT
5;W;14;W;14;13;23;3;20;MT22*;MT22*+MTdT
5;S;14;W;11;18;29;3;20;MT22*;MT22*+MTdT
5;W;14;dT;1;1;1;3;20;MTdT;MT22*+MTdT
5;S;14;dT;2;1;1;3;20;MTdT;MT22*+MTdT
5;W;15;AL;10;9;12;3;20;MT22S;MT22S+MTdT
5;S;15;AL;0;4;7;3;20;MT22S;MT22S+MTdT
5;W;15;dT;26;16;17;3;20;MTdT;MT22S+MTdT
5;S;15;dT;39;43;4;3;20;MTdT;MT22S+MTdT
5;W;16;W;11;18;13;3;20;193*;193*+193
5;S;16;W;0;0;0;0;20;193*;193*+193
5;W;16;AL;2;1;1;3;20;193;193*+193
5;S;16;AL;0;0;0;0;20;193;193*+193
